eV   W/mA     phot/mAs
        1249.99    2.90324E-09    1.44966E+07
        1260.02    2.66652E-09    1.32086E+07
        1269.99    2.45440E-09    1.20625E+07
        1280.01    2.26725E-09    1.10554E+07
        1289.99    2.10689E-09    1.01941E+07
        1299.99    1.97152E-09    9.46563E+06
        1310.01    1.85974E-09    8.86068E+06
        1320.01    1.77102E-09    8.37404E+06
        1329.98    1.69862E-09    7.97152E+06
        1339.99    1.63825E-09    7.63077E+06
        1350.01    1.58504E-09    7.32810E+06
        1360.01    1.53537E-09    7.04629E+06
        1369.98    1.48527E-09    6.76675E+06
        1380.00    1.43191E-09    6.47630E+06
        1390.00    1.37279E-09    6.16423E+06
        1399.98    1.30814E-09    5.83204E+06
        1409.99    1.23627E-09    5.47250E+06
        1420.01    1.15940E-09    5.09601E+06
        1430.00    1.07815E-09    4.70577E+06
        1440.02    9.94308E-10    4.30965E+06
        1449.98    9.10261E-10    3.91827E+06
        1460.00    8.28048E-10    3.53992E+06
        1469.98    7.49606E-10    3.18282E+06
        1479.99    6.76933E-10    2.85480E+06
        1490.00    6.12161E-10    2.56430E+06
        1500.03    5.55572E-10    2.31169E+06
        1500.03    4.33090E-10    1.80205E+06
        1510.02    3.98757E-10    1.64822E+06
        1519.97    3.71887E-10    1.52709E+06
        1529.98    3.51671E-10    1.43463E+06
        1539.99    3.37822E-10    1.36918E+06
        1550.03    3.29692E-10    1.32758E+06
        1559.99    3.25723E-10    1.30322E+06
        1570.02    3.24589E-10    1.29038E+06
        1580.00    3.27322E-10    1.29303E+06
        1590.02    3.30791E-10    1.29849E+06
        1599.99    3.34038E-10    1.30307E+06
        1610.02    3.36269E-10    1.30361E+06
        1620.00    3.36578E-10    1.29676E+06
        1629.99    3.34510E-10    1.28089E+06
        1640.00    3.29851E-10    1.25535E+06
        1650.01    3.22496E-10    1.21991E+06
        1659.97    3.12121E-10    1.17358E+06
        1670.01    2.98843E-10    1.11690E+06
        1679.97    2.83803E-10    1.05440E+06
        1689.99    2.66799E-10        985350.9
        1700.01    2.48840E-10        913606.9
        1709.99    2.30380E-10        840894.9
        1720.01    2.11790E-10        768538.9
        1730.02    1.94177E-10        700546.9
        1739.99    1.77730E-10        637535.9
        1750.00    1.62593E-10        579902.9
        1760.02    1.49728E-10        530977.9
        1769.97    1.39146E-10        490676.9
        1780.01    1.30805E-10        458661.9
        1790.01    1.24791E-10        435131.0
        1799.98    1.21332E-10        420725.0
        1809.99    1.19988E-10        413762.0
        1820.01    1.21406E-10        416345.0
        1830.03    1.27493E-10        434829.0
        1840.03    1.11432E-10        377985.0
        1849.98    1.19447E-10        402992.0
        1860.01    1.18769E-10        398545.0
        1870.00    1.13180E-10        377761.0
        1879.98    1.08084E-10        358836.0
        1889.99    1.06209E-10        350746.0
        1899.99    9.59217E-11        315104.0
